Artist,Popularity_min,Popularity_max,Popularity_mean,Popularity_var,Danceability_min,Danceability_max,Danceability_mean,Danceability_var,Energy_min,Energy_max,Energy_mean,Energy_var,Loudness_min,Loudness_max,Loudness_mean,Loudness_var,Speechiness_min,Speechiness_max,Speechiness_mean,Speechiness_var,Acousticness_min,Acousticness_max,Acousticness_mean,Acousticness_var,Instrumentalness_min,Instrumentalness_max,Instrumentalness_mean,Instrumentalness_var,Liveness_min,Liveness_max,Liveness_mean,Liveness_var,Valence_min,Valence_max,Valence_mean,Valence_var,Tempo_min,Tempo_max,Tempo_mean,Tempo_var,Genre_classical,Genre_rap,Genre_r&b,Genre_industrial,Genre_indie,Genre_opera,Genre_neo soul,Genre_orchestra,Genre_psychedelic rock,Genre_soundtrack,Genre_art pop,Genre_german hip hop,Genre_classic rock,Genre_electro,Genre_bedroom pop,Genre_electronic,Genre_art rock,Genre_alternative r&b,Genre_reggae,Genre_singer-songwriter,Key_<lambda>,Mode_<lambda>,Time Signature_<lambda>,Track_Count
Mansfield.TYA,38,38,38.0,,0.821,0.821,0.821,,0.543,0.543,0.543,,-9.785,-9.785,-9.785,,0.0862,0.0862,0.0862,,0.0078,0.0078,0.0078,,0.837,0.837,0.837,,0.0602,0.0602,0.0602,,0.307,0.307,0.307,,97.0,97.0,97.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1
Manu Chao,41,83,62.0,882.0,0.372,0.657,0.5145,0.040612500000000024,0.741,0.936,0.8385,0.019012500000000012,-6.822,-4.478,-5.65,2.747168,0.0425,0.0825,0.0625,0.0008000000000000001,0.000941,0.663,0.3319705,0.2191610597405,0.0215,0.494,0.25775,0.111628125,0.222,0.731,0.4765,0.12954049999999998,0.826,0.908,0.867,0.003362000000000006,175.949,180.023,177.986,8.298737999999876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2
Mar Malade,38,38,38.0,,0.664,0.664,0.664,,0.656,0.656,0.656,,-6.079,-6.079,-6.079,,0.17,0.17,0.17,,0.561,0.561,0.561,,0.00159,0.00159,0.00159,,0.142,0.142,0.142,,0.654,0.654,0.654,,177.959,177.959,177.959,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
Marco Beltrami,16,37,26.5,220.5,0.401,0.478,0.4395,0.0029644999999999967,0.182,0.347,0.26449999999999996,0.013612499999999993,-15.041,-11.639,-13.34,5.786802000000003,0.0278,0.0355,0.03165,2.9644999999999988e-05,0.379,0.943,0.661,0.15904799999999994,0.351,0.966,0.6585,0.1891125,0.0725,0.113,0.09275,0.0008201250000000003,0.0388,0.125,0.0819,0.00371522,71.305,75.977,73.641,10.913791999999987,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,4,2
Marcoca,45,45,45.0,,0.371,0.371,0.371,,0.622,0.622,0.622,,-11.456,-11.456,-11.456,,0.0689,0.0689,0.0689,,0.368,0.368,0.368,,0.234,0.234,0.234,,0.0938,0.0938,0.0938,,0.344,0.344,0.344,,165.447,165.447,165.447,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
Mariah Carey,0,78,42.5,1258.3,0.336,0.84,0.5826666666666667,0.040895466666666665,0.172,0.771,0.5246666666666667,0.04003266666666667,-11.12,-4.318,-7.6005,4.690478699999998,0.0315,0.271,0.0831,0.008665472000000004,0.016,0.821,0.2680666666666667,0.09006330666666665,0.0,0.0,0.0,0.0,0.0708,0.654,0.18938333333333332,0.05246432166666667,0.176,0.767,0.4491666666666667,0.05384336666666667,85.949,150.273,128.01766666666666,537.8701654666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,6
Mark Ronson,31,73,50.8,285.2,0.601,0.724,0.6676,0.0020362999999999996,0.538,0.811,0.7286,0.012298300000000002,-8.041,-4.268,-6.1752,1.8441337000000009,0.0381,0.254,0.09398000000000001,0.008110917,0.00987,0.437,0.183334,0.03044881978,0.0,0.0139,0.003520872,3.621089316192e-05,0.0343,0.388,0.16662,0.019588802000000002,0.244,0.793,0.4652,0.0488147,108.945,164.749,124.4174,544.8710693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Maroon 5,2,87,55.0,1379.3333333333333,0.604,0.748,0.70225,0.004514916666666673,0.462,0.868,0.7175,0.03136366666666667,-7.055,-4.596,-5.87925,1.847898916666668,0.0334,0.0614,0.043125,0.00015936916666666666,0.0188,0.558,0.17275000000000001,0.06629200333333334,0.0,1.05e-06,2.625e-07,2.756249999999999e-13,0.0863,0.287,0.15075,0.008605709999999997,0.378,0.884,0.64675,0.05220758333333333,60.26,120.076,96.35024999999999,684.6111335833334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
Marteria,36,36,36.0,,0.801,0.801,0.801,,0.77,0.77,0.77,,-3.38,-3.38,-3.38,,0.133,0.133,0.133,,0.142,0.142,0.142,,0.00107,0.00107,0.00107,,0.27,0.27,0.27,,0.448,0.448,0.448,,80.013,80.013,80.013,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,1
Martin Achrainer,5,5,5.0,,0.381,0.381,0.381,,0.215,0.215,0.215,,-21.605,-21.605,-21.605,,0.0396,0.0396,0.0396,,0.986,0.986,0.986,,0.911,0.911,0.911,,0.111,0.111,0.111,,0.235,0.235,0.235,,116.816,116.816,116.816,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1
